Time,Position,Velocity,Acceleration,Jerk,Follow_Vehicle_ID,Lead_Vehicle_ID
9.6,587.5,25,0,0,4,2
9.7,590,25,0,0,4,2
9.8,592.5,25,0,0,4,2
9.9,595,25,0,0,4,2
10,597.5,25,0,0,4,2
10.1,600,25,0,0,4,2
10.2,602.5,25,0,0,4,2
10.3,605,25,0,0,4,2
10.4,607.5,25,0,0,4,2
10.5,610,25,0,0,4,2
10.6,612.5,25,0,0,4,2
10.7,615,25,0,0,4,2
10.8,617.5,25,0,0,4,2
10.9,620,25,0,0,4,2
11,622.5,25,0,0,4,2
11.1,625,25,0,0,4,2
11.2,627.5,25,0,0,4,2
11.3,630,25,0,0,4,2
11.4,632.5,25,0,0,4,2
11.5,635,25,0,0,4,2
11.6,637.5,25,0,0,4,2
11.7,640,25,0,0,4,2
11.8,642.5,25,0,0,4,2
11.9,645,25,0,0,4,2
12,647.5,25,0,0,4,2
12.1,650,25,0,0,4,2
12.2,652.5,25,0,0,4,2
12.3,655,25,0,0,4,2
12.4,657.5,25,0,0,4,2
12.5,660,25,0,0,4,2
12.6,662.5,25,0,0,4,2
12.7,665,25,0,0,4,2
12.8,667.5,25,0,0,4,2
12.9,670,25,0,0,4,2
13,672.5,25,0,0,4,2
13.1,675,25,0,0,4,2
13.2,677.5,25,0,0,4,2
13.3,680,25,0,0,4,2
13.4,682.5,25,0,0,4,2
13.5,685,25,0,0,4,2
13.6,687.5,25,0,0,4,2
13.7,690,25,0,0,4,2
13.8,692.5,25,0,0,4,2
13.9,695,25,0,0,4,2
14,697.5,25,0,0,4,2
14.1,700,25,0,0,4,2
14.2,702.5,25,0,0,4,2
14.3,705,25,0,0,4,2
14.4,707.5,25,0,0,4,2
14.5,710,25,0,0,4,2
14.6,712.5,25,0,0,4,2
14.7,715,25,0,0,4,2
14.8,717.5,25,0,0,4,2
14.9,720,25,0,0,4,2
15,722.5,25,0,0,4,2
15.1,725,25,0,0,4,2
15.2,727.5,25,0,0,4,2
15.3,730,25,0,0,4,2
15.4,732.5,25,0,0,4,2
15.5,735,25,0,0,4,2
15.6,737.5,25,0,0,4,2
15.7,740,25,0,0,4,2
15.8,742.5,25,0,0,4,2
15.9,745,25,0,0,4,2
16,747.5,25,0,0,4,2
16.1,750,25,0,0,4,2
16.2,752.5,25,0,0,4,2
16.3,755,25,0,0,4,2
16.4,757.5,25,0,0,4,2
16.5,760,25,0,0,4,2
16.6,762.5,25,0,0,4,2
16.7,765,25,0,0,4,2
16.8,767.5,25,0,0,4,2
16.9,770,25,0,0,4,2
17,772.5,25,0,0,4,2
17.1,775,25,0,0,4,2
17.2,777.5,25,0,0,4,2
17.3,780,25,0,0,4,2
17.4,782.5,25,0,0,4,2
17.5,785,25,0,0,4,2
17.6,787.5,25,0,0,4,2
17.7,790,25,0,0,4,2
17.8,792.5,25,0,0,4,2
17.9,795,25,0,0,4,2
18,797.5,25,0,0,4,2
18.1,800,25,0,0,4,2
18.2,802.5,25,0,0,4,2
18.3,805,25,0,0,4,2
18.4,807.5,25,0,0,4,2
18.5,810,25,0,0,4,2
18.6,812.5,25,0,0,4,2
18.7,815,25,0,0,4,2
18.8,817.5,25,0,0,4,2
18.9,820,25,0,0,4,2
19,822.5,25,0,0,4,2
19.1,825,25,0,0,4,2
19.2,827.5,25,0,0,4,2
19.3,830,25,0,0,4,2
19.4,832.5,25,0,0,4,2
19.5,835,25,0,0,4,2
19.6,837.5,25,0,0,4,2
19.7,840,25,0,0,4,2
19.8,842.5,25,0,0,4,2
19.9,845,25,0,0,4,2
20,847.5,25,0,0,4,2
20.1,850,25,0,0,4,2
20.2,852.5,25,0,0,4,2
20.3,855,25,0,0,4,2
20.4,857.5,25,0,0,4,2
20.5,860,25,0,0,4,2
20.6,862.5,25,0,0,4,2
20.7,865,25,0,0,4,2
20.8,867.5,25,0,0,4,2
20.9,870,25,0,0,4,2
21,872.5,25,0,0,4,2
21.1,875,25,0,0,4,2
21.2,877.5,25,0,0,4,2
21.3,880,25,0,0,4,2
21.4,882.5,25,0,0,4,2
21.5,885,25,0,0,4,2
21.6,887.5,25,0,0,4,2
21.7,890,25,0,0,4,2
21.8,892.5,25,0,0,4,2
21.9,895,25,0,0,4,2
22,897.5,25,0,0,4,2
22.1,900,25,0,0,4,2
22.2,902.5,25,0,0,4,2
22.3,905,25,0,0,4,2
22.4,907.5,25,0,0,4,2
22.5,910,25,0,0,4,2
22.6,912.5,25,0,0,4,2
22.7,915,25,0,0,4,2
22.8,917.5,25,0,0,4,2
22.9,920,25,0,0,4,2
23,922.5,25,0,0,4,2
23.1,925,25,0,0,4,2
23.2,927.5,25,0,0,4,2
23.3,930,25,0,0,4,2
23.4,932.5,25,0,0,4,2
23.5,935,25,0,0,4,2
23.6,937.5,25,0,0,4,2
23.7,940,25,0,0,4,2
23.8,942.5,25,0,0,4,2
23.9,945,25,0,0,4,2
24,947.5,25,0,0,4,2
24.1,950,25,0,0,4,2
24.2,952.5,25,0,0,4,2
24.3,955,25,0,0,4,2
24.4,957.5,25,0,0,4,2
24.5,960,25,0,0,4,2
24.6,962.5,25,0,0,4,2
24.7,965,25,0,0,4,2
24.8,967.5,25,0,0,4,2
24.9,970,25,0,0,4,2
25,972.5,25,0,0,4,2
25.1,975,25,0,0,4,2
25.2,977.5,25,0,0,4,2
25.3,980,25,0,0,4,2
25.4,982.5,25,0,0,4,2
25.5,985,25,0,0,4,2
25.6,987.5,25,0,0,4,2
25.7,990,25,0,0,4,2
25.8,992.5,25,0,0,4,2
25.9,995,25,0,0,4,2
26,997.5,25,0,0,4,2
26.1,1000,25,0,0,4,2
26.2,1002.5,25,0,0,4,2
26.3,1005,25,0,0,4,2
26.4,1007.5,25,0,0,4,2
26.5,1010,25,0,0,4,2
26.6,1012.5,25,0,0,4,2
26.7,1015,25,0,0,4,2
26.8,1017.5,25,0,0,4,2
26.9,1020,25,0,0,4,2
27,1022.5,25,0,0,4,2
27.1,1025,25,0,0,4,2
27.2,1027.5,25,0,0,4,2
27.3,1030,25,0,0,4,2
27.4,1032.5,25,0,0,4,2
27.5,1035,25,0,0,4,2
27.6,1037.5,25,0,0,4,2
27.7,1040,25,0,0,4,2
27.8,1042.5,25,0,0,4,2
27.9,1045,25,0,0,4,2
28,1047.5,25,0,0,4,2
28.1,1050,25,0,0,4,2
28.2,1052.5,25,0,0,4,2
28.3,1055,25,0,0,4,2
28.4,1057.5,25,0,0,4,2
28.5,1060,25,0,0,4,2
28.6,1062.5,25,0,0,4,2
28.7,1065,25,0,0,4,2
28.8,1067.5,25,0,0,4,2
28.9,1070,25,0,0,4,2
29,1072.5,25,0,0,4,2
29.1,1075,25,0,0,4,2
29.2,1077.5,25,0,0,4,2
29.3,1080,25,0,0,4,2
29.4,1082.5,25,0,0,4,2
29.5,1085,25,0,0,4,2
29.6,1087.5,25,0,0,4,2
29.7,1090,25,0,0,4,2
29.8,1092.5,25,0,0,4,2
29.9,1095,25,0,0,4,2
30,1097.5,25,0,0,4,2
30.1,1100,25,0,0,4,2
30.2,1102.5,25,0,0,4,2
30.3,1105,25,0,0,4,2
30.4,1107.5,25,0,0,4,2
30.5,1110,25,0,0,4,2
30.6,1112.5,25,0,0,4,2
30.7,1115,25,0,0,4,2
30.8,1117.5,25,0,0,4,2
30.9,1120,25,0,0,4,2
31,1122.5,25,0,0,4,2
31.1,1125,25,0,0,4,2
31.2,1127.5,25,0,0,4,2
31.3,1130,25,0,0,4,2
31.4,1132.5,25,0,0,4,2
31.5,1135,25,0,0,4,2
31.6,1137.5,25,0,0,4,2
31.7,1140,25,0,0,4,2
31.8,1142.5,25,0,0,4,2
31.9,1145,25,0,0,4,2
32,1147.5,25,0,0,4,2
32.1,1150,25,0,0,4,2
32.2,1152.5,25,0,0,4,2
32.3,1155,25,0,0,4,2
32.4,1157.5,25,0,0,4,2
32.5,1160,25,0,0,4,2
32.6,1162.5,25,0,0,4,2
32.7,1165,25,0,0,4,2
32.8,1167.5,25,0,0,4,2
32.9,1170,25,0,0,4,2
33,1172.5,25,0,0,4,2
33.1,1175,25,0,0,4,2
33.2,1177.5,25,0,0,4,2
33.3,1180,25,0,0,4,2
33.4,1182.5,25,0,0,4,2
33.5,1185,25,0,0,4,2
33.6,1187.5,25,0,0,4,2
33.7,1190,25,0,0,4,2
33.8,1192.5,25,0,0,4,2
33.9,1195,25,0,0,4,2
34,1197.5,25,0,0,4,2
34.1,1200,25,0,0,4,2
34.2,1202.5,25,0,0,4,2
34.3,1205,25,0,0,4,2
34.4,1207.5,25,0,0,4,2
34.5,1210,25,0,0,4,2
34.6,1212.5,25,0,0,4,2
34.7,1215,25,0,0,4,2
34.8,1217.5,25,0,0,4,2
34.9,1220,25,0,0,4,2
35,1222.5,25,0,0,4,2
35.1,1225,25,0,0,4,2
35.2,1227.5,25,0,0,4,2
35.3,1230,25,0,0,4,2
35.4,1232.5,25,0,0,4,2
35.5,1235,25,0,0,4,2
35.6,1237.5,25,0,0,4,2
35.7,1240,25,0,0,4,2
35.8,1242.5,25,0,0,4,2
35.9,1245,25,0,0,4,2
36,1247.5,25,0,0,4,2
36.1,1250,25,0,0,4,2
36.2,1252.5,25,0,0,4,2
36.3,1255,25,0,0,4,2
36.4,1257.5,25,0,0,4,2
36.5,1260,25,0,0,4,2
36.6,1262.5,25,0,0,4,2
36.7,1265,25,0,0,4,2
36.8,1267.5,25,0,0,4,2
36.9,1270,25,0,0,4,2
37,1272.5,25,0,0,4,2
37.1,1275,25,0,0,4,2
37.2,1277.5,25,0,0,4,2
37.3,1280,25,0,0,4,2
37.4,1282.5,25,0,0,4,2
37.5,1285,25,0,0,4,2
37.6,1287.5,25,0,0,4,2
37.7,1290,25,0,0,4,2
37.8,1292.5,25,0,0,4,2
37.9,1295,25,0,0,4,2
38,1297.5,25,0,0,4,2
38.1,1300,25,0,0,4,2
38.2,1302.5,25,0,0,4,2
38.3,1305,25,0,0,4,2
38.4,1307.5,25,0,0,4,2
38.5,1310,25,0,0,4,2
38.6,1312.5,25,0,0,4,2
38.7,1315,25,0,0,4,2
38.8,1317.5,25,0,0,4,2
38.9,1320,25,0,0,4,2
39,1322.5,25,0,0,4,2
39.1,1325,25,0,0,4,2
39.2,1327.5,25,0,0,4,2
39.3,1330,25,0,0,4,2
39.4,1332.5,25,0,0,4,2
39.5,1335,25,0,0,4,2
39.6,1337.5,25,0,0,4,2
39.7,1340,25,0,0,4,2
39.8,1342.5,25,0,0,4,2
39.9,1345,25,0,0,4,2
40,1347.5,25,0,0,4,2
40.1,1350,25,0,0,4,2
40.2,1352.5,25,0,0,4,2
40.3,1355,25,0,0,4,2
40.4,1357.5,25,0,0,4,2
40.5,1360,25,0,0,4,2
40.6,1362.5,25,0,0,4,2
40.7,1365,25,0,0,4,2
40.8,1367.5,25,0,0,4,2
40.9,1370,25,0,0,4,2
41,1372.5,25,0,0,4,2
41.1,1375,25,0,0,4,2
41.2,1377.5,25,0,0,4,2
41.3,1380,25,0,0,4,2
41.4,1382.5,25,0,0,4,2
41.5,1385,25,0,0,4,2
41.6,1387.5,25,0,0,4,2
41.7,1390,25,0,0,4,2
41.8,1392.5,25,0,0,4,2
41.9,1395,25,0,0,4,2
42,1397.5,25,0,0,4,2
42.1,1400,25,0,0,4,2
42.2,1402.5,25,0,0,4,2
42.3,1405,25,0,0,4,2
42.4,1407.5,25,0,0,4,2
42.5,1410,25,0,0,4,2
42.6,1412.5,25,0,0,4,2
42.7,1415,25,0,0,4,2
42.8,1417.5,25,0,0,4,2
42.9,1420,25,0,0,4,2
43,1422.5,25,0,0,4,2
43.1,1425,25,0,0,4,2
43.2,1427.5,25,0,0,4,2
43.3,1430,25,0,0,4,2
43.4,1432.5,25,0,0,4,2
43.5,1435,25,0,0,4,2
43.6,1437.5,25,0,0,4,2
43.7,1440,25,0,0,4,2
43.8,1442.5,25,0,0,4,2
43.9,1445,25,0,0,4,2
44,1447.5,25,0,0,4,2
44.1,1450,25,0,0,4,2
44.2,1452.5,25,0,0,4,2
44.3,1455,25,0,0,4,2
44.4,1457.5,25,0,0,4,2
44.5,1460,25,0,0,4,2
44.6,1462.5,25,0,0,4,2
44.7,1465,25,0,0,4,2
44.8,1467.5,25,0,0,4,2
44.9,1470,25,0,0,4,2
45,1472.5,25,0,0,4,2
45.1,1475,25,0,0,4,2
45.2,1477.5,25,0,0,4,2
45.3,1480,25,0,0,4,2
45.4,1482.5,25,0,0,4,2
45.5,1485,25,0,0,4,2
45.6,1487.5,25,0,0,4,2
45.7,1490,25,0,0,4,2
45.8,1492.5,25,0,0,4,2
45.9,1495,25,0,0,4,2
46,1497.5,25,0,0,4,2
46.1,1500,25,0,0,4,2
46.2,1502.5,25,0,0,4,2
46.3,1505,25,0,0,4,2
46.4,1507.5,25,0,0,4,2
46.5,1510,25,0,0,4,2
46.6,1512.5,25,0,0,4,2
46.7,1515,25,0,0,4,2
46.8,1517.5,25,0,0,4,2
46.9,1520,25,0,0,4,2
47,1522.5,25,0,0,4,2
47.1,1525,25,0,0,4,2
47.2,1527.5,25,0,0,4,2
47.3,1530,25,0,0,4,2
47.4,1532.5,25,0,0,4,2
47.5,1535,25,0,0,4,2
47.6,1537.5,25,0,0,4,2
47.7,1540,25,0,0,4,2
47.8,1542.5,25,0,0,4,2
47.9,1545,25,0,0,4,2
48,1547.5,25,0,0,4,2
48.1,1550,25,0,0,4,2
48.2,1552.5,25,0,0,4,2
48.3,1555,25,0,0,4,2
48.4,1557.5,25,0,0,4,2
48.5,1560,25,0,0,4,2
48.6,1562.5,25,0,0,4,2
48.7,1565,25,0,0,4,2
48.8,1567.5,25,0,0,4,2
48.9,1570,25,0,0,4,2
49,1572.5,25,0,0,4,2
49.1,1575,25,0,0,4,2
49.2,1577.5,25,0,0,4,2
49.3,1580,25,0,0,4,2
49.4,1582.5,25,0,0,4,2
49.5,1585,25,0,0,4,2
49.6,1587.5,25,0,0,4,2
49.7,1590,25,0,0,4,2
49.8,1592.5,25,0,0,4,2
49.9,1595,25,0,0,4,2
50,1597.5,25,0,0,4,2
50.1,1600,25,0,0,4,2
